"Телефоны без первоначального взноса,на длительный срок.
W/A",Договорная,/bishkek/ads/telefony-bez-pervonacalnogo-vznosana-dlitelnyj-srok-wa-id-53979448
"Телефоны в кредит,без первоначального",17 000 KGS,/bishkek/ads/telefony-v-kreditbez-pervonacalnogo-id-53972032
Телефоны в Рассрочку! Без Банка! Без,Договорная,/kok-oi/ads/telefony-v-rassrocku-bez-banka-bez-id-55542522
Продаю Apple Watch Series 3 ,18 000 KGS,/bishkek/ads/prodau-apple-watch-series-3-id-54878054
Портативная зарядка Romoss ACE10 10000 mah,900 KGS,/bishkek/ads/portativnaa-zaradka-romoss-ace10-10000-mah-id-54535838
IPhone 6s plus space gray,18 000 KGS,/bishkek/ads/iphone-6s-plus-space-gray-id-50730122
Скупка iphone 5s 6+ 6s plus 7+ ,Договорная,/bishkek/ads/skupka-iphone-5s-6-6s-plus-7-id-47990319
,,
Samsumg a5 /2016 gold состояние идеальное полный комплект ,12 000 KGS,/bishkek/ads/samsumg-a5-2016-gold-sostoanie-idealnoe-polnyj-komplekt-id-48207694
Iphone 6s/64 space gray идеал куплен в москве все,16 000 KGS,/bishkek/ads/iphone-6s64-space-gray-ideal-kuplen-v-moskve-vse-id-55206825
"Продаю iphone x 256gb silver, полный комплект, сост. под масло.",55 000 KGS,/bishkek/ads/prodau-iphone-x-256gb-silver-polnyj-komplekt-sost-pod-maslo-id-55711107
Состояние отличное только звоните,27 000 KGS,/bishkek/ads/sostoanie-otlicnoe-tolko-zvonite-id-55668768
Redmi 5 plus ,8 000 KGS,/bishkek/ads/redmi-5-plus-id-52182338
Iphone 6/16 gold usa все работает идеально,14 000 KGS,/bishkek/ads/iphone-616-gold-usa-vse-rabotaet-idealno-id-44419065
Iphone 6 новый привезли с Дубай без тача 64 гига новый,11 900 KGS,/bishkek/ads/iphone-6-novyj-privezli-s-dubaj-bez-taca-64-giga-novyj-id-45289501
Iphone 6s silver 64 gb,21 000 KGS,/bishkek/ads/iphone-6s-silver-64-gb-id-43088001
Iphone 6/16gold/usa,Договорная,/bishkek/ads/iphone-616goldusa-id-45289047
Samsung j7 2017 black коробка документы,10 000 KGS,/bishkek/ads/samsung-j7-2017-black-korobka-dokumenty-id-50887139
Redmi not 5 global 3/32 идеал состояние ,9 000 KGS,/bishkek/ads/redmi-not-5-global-332-ideal-sostoanie-id-53673780
Iphone 8+ /64 red полный комплект состояние нового телефона ,44 000 KGS,/bishkek/ads/iphone-8-64-red-polnyj-komplekt-sostoanie-novogo-telefona-id-55374685
Mi a2 lite 4/64 новый открыли закрыли коробку ,12 500 KGS,/bishkek/ads/mi-a2-lite-464-novyj-otkryli-zakryli-korobku-id-49335976
"Продается А6 2018
Состояние Идеальное
32Гб
10000сом",10 000 KGS,/bishkek/ads/prodaetsa-a6-2018-sostoanie-idealnoe-32gb-10000som-id-55750404
Samsung j4/2018 состояние идеал,7 000 KGS,/bishkek/ads/samsung-j42018-sostoanie-ideal-id-53683184
Redmi 4x под масло,5 000 KGS,/bishkek/ads/redmi-4x-pod-maslo-id-54178764
Iphone 7+/128 black mate полный комплект состояние отличное,31 000 KGS,/bishkek/ads/iphone-7128-black-mate-polnyj-komplekt-sostoanie-otlicnoe-id-55374716
Redmi note 5 black 32gb,9 000 KGS,/bishkek/ads/redmi-note-5-black-32gb-id-53632430
Samsung note 8 / 1 sim ,18 000 KGS,/bishkek/ads/samsung-note-8-1-sim-id-52722800
